,id,pre_pt_root_id,post_pt_root_id,size,ctr_pt_x,ctr_pt_y,ctr_pt_z,synapse_id,cell_type_pre
0,202264661,864691135445930386,864691135771609595,3032,806.472,546.616,866.48,-202264661,Unknown
1,202168943,864691136714501486,864691135771609595,12980,813.936,543.264,940.32,-202168943,Unknown
2,193993473,864691135623934704,864691135771609595,7940,792.224,561.544,847.52,-193993473,Unknown
3,207942558,864691136758085230,864691135771609595,2244,831.772,551.1560000000001,918.36,-207942558,Unknown
4,213944142,864691133757627250,864691135771609595,2076,837.416,490.408,902.04,-213944142,Unknown
5,206567057,864691134522468092,864691135771609595,1984,823.664,396.264,878.2,-206567057,Unknown
6,202261889,864691136911734382,864691135771609595,3780,811.376,552.472,854.32,-202261889,Unknown
7,219458072,864691135750497281,864691135771609595,968,850.268,539.992,875.0,-219458072,Unknown
8,205620762,864691135165532193,864691135771609595,8632,821.3000000000001,536.484,765.6800000000001,-205620762,Unknown
9,219921591,864691135656841984,864691135771609595,3748,857.6560000000001,491.344,875.0,-219921591,Unknown
10,187842643,864691135582575044,864691135771609595,24196,774.984,531.5120000000001,871.04,-187842643,Unknown
11,194772505,864691135591084611,864691135771609595,26512,796.972,534.192,868.6,-194772505,Unknown
12,193467594,864691135489559492,864691135771609595,16576,797.0,557.816,850.28,-193467594,Unknown
13,221730721,864691135726189928,864691135771609595,21104,863.392,475.836,868.88,-221730721,Unknown
14,243599744,864691136157275910,864691135771609595,16388,904.136,441.56,891.08,-243599744,Unknown
15,249065223,864691135213068928,864691135771609595,2912,927.688,518.208,818.16,-249065223,Unknown
16,219255950,864691135592134504,864691135771609595,10892,858.0,424.272,855.24,-219255950,Unknown
17,201981476,864691132444717191,864691135771609595,14360,808.7040000000001,536.272,864.96,-201981476,Unknown
18,233246879,864691135638991675,864691135771609595,5740,896.416,547.8000000000001,817.5600000000001,3327253,4P
19,222630306,864691135595328872,864691135771609595,8316,865.16,475.736,871.64,-222630306,Unknown
20,212167052,864691135591196532,864691135771609595,20420,834.408,538.356,895.5600000000001,-212167052,Unknown
21,219988231,864691136136921213,864691135771609595,18432,863.84,582.912,785.24,-219988231,Unknown
22,228020307,864691135436149352,864691135771609595,184,870.424,401.112,843.16,-228020307,Unknown
23,235514097,864691135042393801,864691135771609595,5340,887.136,367.816,806.52,-235514097,Unknown
24,231945816,864691134458322380,864691135771609595,5476,885.408,369.64,786.24,-231945816,Unknown
25,247377437,864691135098492994,864691135771609595,2492,920.168,583.128,868.44,-247377437,Unknown
26,204885676,864691135742969448,864691135771609595,22008,819.464,442.416,865.72,-204885676,Unknown
27,232623868,864691135142834093,864691135771609595,6872,888.856,452.208,888.84,-232623868,Unknown
28,205962922,864691133863079621,864691135771609595,1704,819.904,543.44,955.92,-205962922,Unknown
29,232772191,864691135495215512,864691135771609595,4168,882.168,488.104,824.76,-232772191,Unknown
30,200226307,864691135738582632,864691135771609595,19072,806.8000000000001,366.32,837.12,-200226307,Unknown
31,240136116,864691135302054384,864691135771609595,216,901.96,518.576,895.4,-240136116,Unknown
32,233831401,864691135499018180,864691135771609595,2088,885.592,589.504,772.9200000000001,-233831401,Unknown
33,223999068,864691136905852014,864691135771609595,4516,851.24,522.856,833.28,-223999068,Unknown
34,213870741,864691136706485358,864691135771609595,1512,844.928,464.888,920.88,-213870741,Unknown
35,205020362,864691135699178850,864691135771609595,3404,817.432,389.936,881.0,-205020362,Unknown
36,205241851,864691135189100834,864691135771609595,688,819.5120000000001,521.48,830.96,-205241851,Unknown
37,198521140,864691135642298691,864691135771609595,18096,815.7760000000001,542.6800000000001,950.2,-198521140,Unknown
38,233547039,864691135450538226,864691135771609595,12300,882.648,540.76,865.88,-233547039,Unknown
39,200225269,864691133997415548,864691135771609595,5080,802.496,364.016,835.4,-200225269,Unknown
40,225968263,864691136705756278,864691135771609595,2076,867.7,458.988,840.28,-225968263,Unknown
41,243805596,864691135989112968,864691135771609595,4180,907.152,439.36,889.6800000000001,-243805596,Unknown
42,249061813,864691135604172099,864691135771609595,6112,921.024,514.792,817.8000000000001,-249061813,Unknown
43,180965579,864691135379359730,864691135771609595,4948,752.856,528.816,872.44,-180965579,Unknown
44,229460738,864691135728167272,864691135771609595,9640,869.148,414.012,858.2,-229460738,Unknown
45,254396412,864691134895520526,864691135771609595,11344,939.448,509.632,901.36,-254396412,Unknown
46,205222110,864691135115840538,864691135771609595,3180,828.296,367.896,833.88,-205222110,Unknown
47,202622151,864691135723737089,864691135771609595,14368,816.028,580.644,891.64,-202622151,Unknown
48,242956006,864691136025934555,864691135771609595,4192,906.928,361.264,846.04,-242956006,Unknown
