,id,pre_pt_root_id,post_pt_root_id,size,ctr_pt_x,ctr_pt_y,ctr_pt_z,synapse_id,cell_type_pre
3275,227647066,864691134903435591,864691135490583527,1540,877.8720000000001,388.68,700.16,-227647066,Unknown
3276,216602864,864691135012582550,864691135490583527,13560,840.056,475.328,736.92,-216602864,Unknown
3277,219500089,864691136471587719,864691135490583527,17320,860.232,563.28,719.08,-219500089,Unknown
3278,231236753,864691136895929198,864691135490583527,21464,877.936,554.12,680.72,-231236753,Unknown
3279,198844618,864691132945644772,864691135490583527,1420,807.12,569.408,703.32,-198844618,Unknown
3280,254596564,864691135462710078,864691135490583527,6528,936.92,622.712,759.6800000000001,3319363,23P
3281,229428689,864691135749999873,864691135490583527,3128,866.5120000000001,601.288,753.36,-229428689,Unknown
3282,268409174,864691133775311590,864691135490583527,1364,970.832,571.6560000000001,680.6800000000001,-268409174,Unknown
3283,240553399,864691134409321410,864691135490583527,240,903.48,583.872,712.76,-240553399,Unknown
3284,222388453,864691135448346026,864691135490583527,2160,859.8480000000001,544.48,638.6,-222388453,Unknown
3285,237717044,864691135645955139,864691135490583527,2284,892.664,578.32,756.5600000000001,-237717044,Unknown
3286,247516396,864691135648500397,864691135490583527,1176,929.392,564.248,689.92,-247516396,Unknown
3287,240866785,864691136274214535,864691135490583527,5448,903.864,586.448,710.64,-240866785,Unknown
3288,225923168,864691135888665737,864691135490583527,392,871.152,511.808,707.24,-225923168,Unknown
3289,234195727,864691136157314262,864691135490583527,180,895.168,701.032,728.44,-234195727,Unknown
3290,233558302,864691135841062627,864691135490583527,3112,895.116,588.692,739.2,-233558302,Unknown
3291,227592234,864691135469385003,864691135490583527,20668,875.744,379.376,724.88,-227592234,Unknown
3292,253875922,864691135609798407,864691135490583527,5568,934.336,563.448,686.36,-253875922,Unknown
3293,236492388,864691135295715668,864691135490583527,1060,889.9440000000001,582.672,659.44,-236492388,Unknown
3294,229508405,864691136278945810,864691135490583527,1176,867.36,610.1800000000001,743.12,-229508405,Unknown
3295,219829353,864691136278207250,864691135490583527,1848,851.784,627.984,776.72,-219829353,Unknown
3296,213352584,864691134828422373,864691135490583527,8108,840.664,629.088,778.9200000000001,-213352584,Unknown
3297,257358681,864691135705602049,864691135490583527,17228,932.688,596.872,690.72,-257358681,Unknown
3298,237949434,864691135981285822,864691135490583527,2992,883.288,570.792,678.72,-237949434,Unknown
3299,243472832,864691135709188609,864691135490583527,8448,912.832,568.944,697.64,-243472832,Unknown
3300,243789850,864691134088610501,864691135490583527,4092,912.0,628.516,752.6800000000001,-243789850,Unknown
3301,222407604,864691135737497713,864691135490583527,2612,853.96,573.784,702.24,-222407604,Unknown
3302,216151019,864691135712168961,864691135490583527,10440,849.392,603.32,744.72,-216151019,Unknown
3303,219215244,864691135619639363,864691135490583527,15992,865.5360000000001,444.8,701.36,-219215244,Unknown
3304,219830718,864691135561853636,864691135490583527,3188,856.568,628.944,775.36,-219830718,Unknown
3305,226448188,864691135619258179,864691135490583527,14284,872.792,535.364,694.36,-226448188,Unknown
3306,229056916,864691135452770347,864691135490583527,7564,866.992,498.328,612.6800000000001,-229056916,Unknown
3307,219830778,864691136450772871,864691135490583527,2108,856.792,626.864,773.48,-219830778,Unknown
3308,233365423,864691135587862770,864691135490583527,1924,883.644,550.2040000000001,738.72,-233365423,Unknown
3309,244333084,864691136683934582,864691135490583527,856,903.868,539.864,715.32,-244333084,Unknown
3310,195488034,864691135733025537,864691135490583527,2832,795.7760000000001,626.54,677.08,-195488034,Unknown
3311,222740326,864691135097581101,864691135490583527,3140,855.216,406.904,690.28,-222740326,Unknown
3312,222407533,864691133994099257,864691135490583527,3088,853.748,572.668,700.24,-222407533,Unknown
3313,213427293,864691133676675873,864691135490583527,4112,848.384,391.144,682.16,-213427293,Unknown
3314,237711403,864691136906714734,864691135490583527,952,889.148,575.968,670.24,-237711403,Unknown
