,id,pre_pt_root_id,post_pt_root_id,size,ctr_pt_x,ctr_pt_y,ctr_pt_z,synapse_id,cell_type_pre
0,424773884,864691133277109275,864691135358817112,344,1352.904,402.832,884.48,-424773884,Unknown
1,434139270,864691135641361891,864691135358817112,536,1361.344,416.128,841.9200000000001,-434139270,Unknown
2,445164164,864691136215043518,864691135358817112,4184,1395.048,402.864,841.64,-445164164,Unknown
3,425011376,864691136329585756,864691135358817112,4644,1348.564,374.184,845.52,-425011376,Unknown
4,391849847,864691134415834633,864691135358817112,2876,1261.456,341.928,788.6,-391849847,Unknown
5,413033710,864691135159446164,864691135358817112,13208,1323.424,370.072,810.76,-413033710,Unknown
6,436559086,864691135656746467,864691135358817112,3308,1324.512,404.56,864.9200000000001,-436559086,Unknown
7,440587956,864691135117253914,864691135358817112,2488,1377.912,349.88800000000003,888.64,-440587956,Unknown
8,411986519,864691135965080010,864691135358817112,3664,1320.832,366.464,895.88,-411986519,Unknown
9,440586675,864691134817317295,864691135358817112,15816,1373.904,351.08,883.44,-440586675,Unknown
10,425068317,864691134642556004,864691135358817112,6580,1352.124,423.648,840.8000000000001,-425068317,Unknown
11,402656772,864691134614586626,864691135358817112,2052,1302.576,337.312,792.5600000000001,-402656772,Unknown
12,423832330,864691135685150124,864691135358817112,28556,1354.456,392.032,792.52,-423832330,Unknown
13,411986849,864691135707781728,864691135358817112,17792,1322.2,365.176,896.08,-411986849,Unknown
14,413540987,864691135610753582,864691135358817112,2084,1323.032,393.0,886.2,-413540987,Unknown
15,429731534,864691135606956019,864691135358817112,380,1357.536,410.88,821.36,-429731534,Unknown
16,416959402,864691135909598347,864691135358817112,2488,1340.456,384.568,868.76,-416959402,Unknown
17,450140132,864691136494695665,864691135358817112,1576,1411.192,412.744,850.48,-450140132,Unknown
18,395920994,864691134625638815,864691135358817112,21040,1284.672,370.144,736.16,-395920994,Unknown
19,418341145,864691134128914745,864691135358817112,3796,1328.08,388.112,882.44,-418341145,Unknown
20,390600369,864691135183361246,864691135358817112,2632,1271.168,370.2,727.92,-390600369,Unknown
21,425011379,864691135172411284,864691135358817112,5400,1348.696,374.664,846.2,-425011379,Unknown
22,437478918,864691135676786915,864691135358817112,3080,1324.544,370.736,808.72,-437478918,Unknown
