Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
0,23P,864691135639004475,71136,110528,20220
1,23P,864691135771677771,72576,108656,20291
2,23P,864691135864089470,79632,121456,16754
3,23P,864691135560505569,80128,124000,16563
4,23P,864691136315868311,80144,126928,16622
5,23P,864691136324529047,80560,120192,16874
6,23P,864691135462278045,80896,123024,16680
7,23P,864691136292100759,81328,117168,17042
8,23P,864691135945519140,81600,119296,16558
9,23P,864691135274095077,80080,123744,17536
10,23P,864691136143282839,80768,121040,17743
11,23P,864691135589949195,81040,125248,17264
12,23P,864691136123769638,81440,125856,17524
13,23P,864691136237494332,81168,124816,18561
14,23P,864691135945490980,81408,119504,18261
15,23P,864691135614145483,79888,121248,19370
16,23P,864691135581600621,79712,124736,19420
17,23P,864691135945493796,80448,122768,18821
18,23P,864691135162232877,66144,117984,20072
19,23P,864691135403774702,67616,125632,20278
20,23P,864691135366984953,69264,119728,20245
21,23P,864691134988455802,71216,117440,20016
22,23P,864691135538107762,71344,121536,20214
23,23P,864691135724233643,64400,121984,20069
24,23P,864691136436395166,65248,123392,20039
25,23P,864691136723556861,63936,120160,20830
26,23P,864691135776658528,65536,126464,20622
27,23P,864691135941166708,64384,130432,20111
28,23P,864691136115294545,62784,136512,20533
29,4P,864691135593557035,81296,154544,17629
30,23P,864691135501810013,81840,143264,17919
31,23P,864691136333746355,66224,155712,20154
32,23P,864691135122295079,69248,151872,20206
33,4P,864691135617737103,70384,158976,20150
34,23P,864691135571221285,70848,154288,20280
35,23P,864691135699275042,73712,150832,20289
36,23P,864691136084042860,76784,150240,20192
37,23P,864691136236651535,78432,146416,19632
38,23P,864691135497652243,79232,145568,20250
39,23P,864691134964448287,79632,156800,20083
40,4P,864691136422867759,79584,159360,19637
41,23P,864691135272178705,81280,145328,20130
42,4P,864691135776620896,81952,158752,19928
43,23P,864691135560468961,65680,158192,20757
44,23P,864691135739618196,65664,153632,20707
45,23P,864691135385316693,66112,149040,20326
46,23P,864691136436641694,81488,144336,19820
47,23P,864691135099838240,72880,155696,20931
48,23P,864691135385346389,74864,156528,20603
49,4P,864691135181708290,74848,159824,20942
50,23P,864691135823391340,76048,145120,20994
51,4P,864691135469590457,75952,159712,20297
52,23P,864691135622549929,76608,149248,20512
53,23P,864691135181824514,78240,144928,20855
54,4P,864691135194418986,79344,157408,21022
55,23P,864691135337743846,79648,155904,20916
56,23P,864691135939649702,80176,147424,20860
57,23P,864691136388279671,67024,153936,21198
58,23P,864691135345220511,72176,149936,21365
59,23P,864691135785293252,73760,145696,21287
60,23P,864691135393988085,74368,154208,21261
61,23P,864691135790612844,74784,156272,21297
62,23P,864691135994564778,77392,145856,21326
63,23P,864691135654090434,77504,150896,21246
64,4P,864691135134661401,81824,161888,16732
65,4P,864691135307106630,68272,162784,20215
66,4P,864691135753655501,71184,161824,20089
67,4P,864691135926317012,72112,167568,20249
68,4P,864691135740187243,73552,165072,20046
69,4P,864691136108738488,73680,171856,20140
70,4P,864691136672649607,73536,170640,20304
71,4P,864691136209027260,75040,161648,19917
72,4P,864691135700221307,76032,162512,20268
73,4P,864691135337706982,76528,172016,20263
74,4P,864691135615794025,77104,160400,19912
75,4P,864691135012369398,76992,168320,19877
76,4P,864691135758476622,77216,169440,20200
77,4P,864691135581601133,78000,165808,20245
78,4P,864691134964448031,80128,164112,20113
79,4P,864691135858711912,81632,169472,19919
80,4P,864691135753717965,82240,160720,20138
81,4P,864691136194015190,66976,172480,20614
82,4P,864691136922724324,67648,165904,20721
83,4P,864691135269671333,68592,175968,20745
84,4P,864691136099761781,69568,173584,20731
85,4P,864691136209003196,71328,168816,20774
86,4P,864691135815443791,71648,173936,20775
87,4P,864691136486748178,72160,169968,20518
88,4P,864691135435945458,73072,165872,20978
89,23P,864691135385277781,83104,123616,18530
90,23P,864691136743508452,83408,117632,18041
91,23P,864691135837210003,84144,118240,18323
92,23P,864691135809423052,84960,121152,18684
93,23P,864691135385352533,85680,121264,18221
94,23P,864691135508712713,85760,126608,18121
95,23P,864691136209028796,87984,123968,18406
96,23P,864691135780843856,88352,122608,18635
97,23P,864691135291754422,88544,119760,18561
98,23P,864691135945510692,88640,117520,18105
99,23P,864691135782422579,88816,125808,18172
100,23P,864691136175025414,90512,116656,18762
101,23P,864691135307106118,91344,120256,18410
102,23P,864691136143382580,91616,125056,18471
103,23P,864691135718490417,91920,118720,18281
104,23P,864691136744533476,91712,121472,18659
105,23P,864691135544428584,92784,125824,18029
106,23P,864691135394019061,91968,127104,18320
107,23P,864691136740436828,93744,125264,18224
108,23P,864691135692755135,93520,126640,18546
109,23P,864691135939396609,93952,115520,18077
110,23P,864691136140518225,94800,118672,18454
111,23P,864691136148935319,82048,122624,19104
112,23P,864691135974462319,82160,119296,19146
113,23P,864691136322456471,84672,123744,18784
114,23P,864691136010949027,84912,124496,19454
115,23P,864691136008482988,85296,126528,19136
116,23P,864691136903063218,86368,122912,19424
117,23P,864691135396399905,86784,117488,19278
118,23P,864691136745254116,87904,124736,19099
119,23P,864691136010954915,89488,121952,19352
120,23P,864691135488271930,90688,126352,19438
121,23P,864691136973705756,90864,120528,19287
122,23P,864691135494061712,91184,126000,19183
123,23P,864691135065014852,92496,120352,18835
124,23P,864691135761545526,92608,120144,18999
125,23P,864691136296679451,92608,122384,19020
126,23P,864691136237495868,94352,125920,18991
127,23P,864691135407295945,94672,120880,18996
128,23P,864691135758532686,95008,126144,19346
129,23P,864691136237495356,97040,115152,18993
130,23P,864691135986880515,97376,118832,18945
131,23P,864691135474706240,98176,121200,18999
132,23P,864691135526095707,82160,118352,19843
133,23P,864691136296739355,83024,120720,19667
134,23P,864691135012469494,83648,120608,19898
135,23P,864691135730185401,83760,124592,20076
136,23P,864691135474686784,84384,118032,20299
137,23P,864691135494059152,84976,127328,19681
138,23P,864691136175029510,86224,126080,19825
139,23P,864691136378799829,85568,126912,20221
140,23P,864691135700263803,86800,118656,20002
141,23P,864691135753725901,86944,117296,20279
142,23P,864691135807331357,87760,119280,20242
143,23P,864691135776621152,87584,119184,19618
144,23P,864691135491237471,87568,126864,20068
145,23P,864691136662210526,89280,121440,19956
146,23P,864691135776643424,89408,123664,19742
147,23P,864691135654082242,92848,122592,19691
148,23P,864691136008469932,92944,124304,19841
149,23P,864691135945518628,93600,121936,19826
150,23P,864691136020299512,94608,123312,20191
151,23P,864691136262696676,94688,123824,19627
152,23P,864691136261850596,96384,118944,19980
153,23P,864691135909781161,82880,119056,20785
154,23P,864691136323191703,83600,125936,20729
155,23P,864691134988410490,84128,117824,20579
156,23P,864691136123797542,84448,120480,20839
157,23P,864691136194209768,84736,121712,20607
158,23P,864691135686879712,85328,115792,20699
159,23P,864691135210057664,85760,119344,20511
160,23P,864691136194336332,85808,121056,20984
161,23P,864691135233134937,88176,118896,20478
162,23P,864691136123773222,89792,120416,20483
163,23P,864691135345221279,93872,120384,20985
164,23P,864691136065684120,92688,119696,20827
165,23P,864691134988461178,73904,122320,19799
166,23P,864691135494066064,76048,119040,20026
167,23P,864691135941466740,98336,122048,20087
168,23P,864691135341535409,92288,118608,18759
169,23P,864691135516217043,82320,118768,19650
170,23P,864691135474708288,78928,118016,19723
171,23P,864691135730185913,79216,119808,19630
172,23P,864691135581598829,79936,120656,20311
173,23P,864691136056380376,66800,119216,20664
174,23P,864691136311813693,66976,125568,20547
175,23P,864691135134698777,68816,118448,20634
176,23P,864691136723566333,68784,118240,21032
177,23P,864691135564685911,71520,124928,20661
178,23P,864691135761535798,71904,118240,20687
179,23P,864691135385179733,73472,120624,20722
180,23P,864691135771640315,74208,123040,20637
181,23P,864691135307112518,75104,125840,20698
182,23P,864691136723362301,75232,120784,21054
183,23P,864691134988474746,77184,121024,20696
184,23P,864691135134701337,78992,126624,20967
185,23P,864691135474688832,80048,123488,20593
186,23P,864691135953781512,80448,114656,21033
187,23P,864691136123786022,80672,123696,20333
188,23P,864691136911658993,70112,126640,21214
189,23P,864691136123767846,73968,119936,21301
190,23P,864691135462269853,74992,127120,21271
191,23P,864691135354947279,76464,116032,21335
192,23P,864691136108742584,77936,125776,21353
193,23P,864691134988453242,79728,117984,21223
194,23P,864691135951978787,81312,112464,21411
195,23P,864691136807843556,80432,133440,15669
196,23P,864691135925941262,79024,122176,19743
197,23P,864691135783403116,79248,135680,16907
198,23P,864691136273016254,80528,138832,16492
199,23P,864691135909049513,81376,142864,16502
200,23P,864691135429211833,81840,136160,17940
201,23P,864691136922759652,80432,130704,19449
202,23P,864691136418786199,81744,138976,19305
203,23P,864691135538106482,67536,128912,20109
204,23P,864691136806915300,68016,139616,20281
205,23P,864691135467557260,68656,130640,20123
206,23P,864691135571273253,69280,132080,20059
207,23P,864691136390424703,70432,138864,20218
208,23P,864691135544429864,72432,128944,20004
209,23P,864691135939392513,73552,143264,20080
210,23P,864691135104003661,75328,138112,19973
211,23P,864691135945495076,75584,131280,19923
212,23P,864691135865555845,75424,130944,20300
213,23P,864691136286544067,77328,128336,19892
214,23P,864691135748597545,77360,133968,19819
215,23P,864691135660515568,77872,132128,20174
216,23P,864691135728905153,77392,132992,19645
217,23P,864691135567760364,79696,134704,20052
218,23P,864691135385284693,79776,130752,19721
219,23P,864691135345197727,80464,132272,19846
220,23P,864691136136563069,66000,141168,20330
221,23P,864691135275334095,66032,139856,20993
222,23P,864691136816102116,67136,133040,20545
223,23P,864691135012453622,70640,139648,20634
224,23P,864691135358806872,71520,135136,20617
225,23P,864691135570713581,71792,132368,20789
226,23P,864691136973706012,71200,143488,20831
227,23P,864691135952027427,72464,134544,20328
228,23P,864691136148350545,72896,143488,20308
229,23P,864691135780842832,73888,132688,20941
230,23P,864691136823163108,74224,128704,20358
231,23P,864691136123767078,74832,135424,20625
232,23P,864691135638998331,74928,141760,20573
233,23P,864691135134709017,75408,142928,21044
234,23P,864691135012470518,75536,137216,21058
235,23P,864691136149706577,76784,141456,20385
236,23P,864691136819445732,77872,129104,20354
237,23P,864691135753682125,80320,137696,20953
238,23P,864691135807271453,65296,135920,21256
239,23P,864691135269792421,66064,139184,21218
240,23P,864691136118457112,71792,135424,21384
241,23P,864691136816114148,75696,131712,21249
242,23P,864691136008585902,77184,138640,21411
243,23P,864691135807272221,81760,136880,21337
244,23P,864691136089274167,78784,140992,20011
245,23P,864691136521605009,94496,124720,20343
246,23P,864691134940011875,95088,119968,20344
247,23P,864691135945502756,95280,116304,20665
248,23P,864691136311820349,96128,122528,20840
249,23P,864691135467558028,97360,117776,20955
250,23P,864691136004773578,82032,119632,21288
251,23P,864691135748596265,82000,127392,21449
252,23P,864691135393987573,84480,126048,21378
253,23P,864691135866429462,87904,118832,21461
254,23P,864691135337754598,89088,122352,21097
255,23P,864691135446643796,89312,117344,21343
256,23P,864691135564692823,89584,120560,21470
257,23P,864691136301453207,89920,119872,21195
258,23P,864691136328318359,90992,117088,21697
259,23P,864691136148812951,91536,124592,21619
260,23P,864691136515289572,92528,116400,21107
261,23P,864691136443710595,92640,115664,21394
262,23P,864691135415501242,92880,122144,21761
263,23P,864691136112316497,94608,115264,21452
264,23P,864691135850452935,95552,124096,21567
265,23P,864691135194439210,97792,121280,21252
266,23P,864691135560516577,97792,117584,21649
267,23P,864691135385328213,96672,124672,22268
268,23P,864691136008577198,96624,122400,22378
269,23P,864691135462730558,97104,115568,22113
270,23P,864691135941172340,97776,118064,22399
271,23P,864691135538118770,97392,122128,22691
272,23P,864691135081899255,94448,112640,21093
273,23P,864691136020547064,97520,118992,22568
274,23P,864691135748799785,88944,114224,21143
275,23P,864691135538305650,97440,113712,20842
276,23P,864691136617334491,97072,117072,20772
277,6P-IT,864691135212624256,81008,247360,20725
278,6P-IT,864691135162235949,81424,251520,20676
279,23P,864691136039698942,95120,117920,21624
280,23P,864691135104275789,97856,125760,21797
281,6P-IT,864691135557497282,73312,248096,21201
282,6P-CT,864691135515922387,74912,251712,21394
283,6P-IT,864691135780809296,77520,246112,21306
284,6P-IT,864691135373422024,77712,256736,21399
285,6P-IT,864691136436405662,79216,253248,21372
286,6P-IT,864691135508708873,80240,247328,21341
287,6P-IT,864691135515950803,81136,256864,21383
288,6P-IT,864691135476110248,80432,270000,20296
289,6P-CT,864691135212650880,77840,264592,20299
290,6P-IT,864691135864081022,79728,258128,20531
291,6P-IT,864691135462716734,75936,259056,21300
292,6P-CT,864691136951612639,78880,259248,21410
293,6P-CT,864691136273220286,76992,263904,20541
294,23P,864691136004775370,89472,109632,16840
295,23P,864691135639000891,95920,107120,16973
296,23P,864691135724409003,83184,142176,21311
297,23P,864691135373736521,81904,133744,21268
298,23P,864691135194441514,84192,138624,21341
299,23P,864691135117831389,89856,138752,21497
300,23P,864691135699284770,89840,133456,21524
301,23P,864691136286581443,90336,128752,21475
302,23P,864691135758494286,91872,131968,21539
303,23P,864691136108737976,91792,142848,21500
304,23P,864691135799774050,92624,137360,21618
305,23P,864691135875959379,92960,138928,21132
306,23P,864691136601574865,94256,142624,21157
307,23P,864691136237521468,96480,129008,21238
308,23P,864691135508707849,98064,135376,21173
309,23P,864691135776654176,96352,130144,22250
310,23P,864691136828871908,96832,131456,22503
311,23P,864691135855654958,97632,140432,22391
312,23P,864691135730192825,97568,143168,22401
313,23P,864691135474612288,98368,135152,22349
314,23P,864691135502049629,92064,138784,21341
315,5P-IT,864691135490569959,71792,212432,20120
316,5P-IT,864691135207715449,75456,219632,20170
317,5P-IT,864691135510410704,78000,215440,20124
318,5P-NP,864691135407293897,78608,221792,20092
319,5P-IT,864691135771684939,69312,212448,20638
320,5P-IT,864691135753647966,69808,222400,20584
321,5P-ET,864691136286569923,74400,217136,20740
322,5P-IT,864691135567712748,76576,223120,20733
323,5P-ET,864691135740215147,77984,220512,20661
324,5P-ET,864691135783617871,77952,209440,20489
325,5P-IT,864691135748565289,79152,217232,20691
326,5P-ET,864691136237513020,81472,210224,20878
327,4P,864691135415489978,81536,222992,20974
328,5P-IT,864691135567745516,76608,221232,21412
329,5P-NP,864691135807266845,76912,209360,21224
330,5P-IT,864691135657809538,81136,221376,21408
331,5P-IT,864691135501529922,81872,212720,21305
332,6P-IT,864691135718472241,72992,230400,20325
333,6P-IT,864691135382900715,74880,238368,20211
334,6P-IT,864691136050830067,78544,238688,20089
335,6P-IT,864691135272175377,78768,231904,20061
336,6P-IT,864691135781479503,80464,230320,19985
337,6P-IT,864691136286538179,80816,241056,19978
338,6P-CT,864691136311729213,71888,235920,20715
339,5P-IT,864691136273648909,74608,228528,20581
340,6P-IT,864691136273626893,75024,238080,20760
341,6P-CT,864691136039379710,75328,241072,20634
342,4P,864691135746476879,75760,225680,21030
343,6P-CT,864691135815477583,76848,234800,20730
344,5P-IT,864691135783324495,79744,226960,21059
345,6P-CT,864691135065014340,80144,240912,20752
346,5P-IT,864691136134437259,80688,226976,20727
347,6P-IT,864691135700251771,80992,241744,20928
348,6P-IT,864691135517355146,81376,241520,20575
349,6P-IT,864691135776566624,72720,239264,21245
350,6P-CT,864691136723301117,78208,227200,21336
351,6P-IT,864691135568901510,79184,240848,21380
352,6P-IT,864691136140401890,72288,243792,20262
353,6P-IT,864691136672666247,73104,248672,20175
354,6P-CT,864691135953782792,75152,252976,20059
355,6P-IT,864691135683244274,75968,243664,20293
356,6P-IT,864691135181824258,76896,252672,20275
357,6P-IT,864691135058571163,77264,256576,20288
358,6P-CT,864691135345185183,78672,248784,20089
359,6P-IT,864691136333764531,78832,254848,20224
360,6P-IT,864691136123784230,78976,256800,20233
361,6P-IT,864691135593542187,79152,252416,20264
362,5P-NP,864691134988407930,73504,247424,20699
363,6P-IT,864691135776564064,76848,243584,20697
364,6P-IT,864691135269801125,77184,251728,20764
365,6P-IT,864691136039340798,78304,251584,20614
366,4P,864691136056343000,79520,243984,20321
367,5P-NP,864691135656048934,80320,242608,21068
368,23P,864691135207748985,85296,144368,20940
369,4P,864691135012403190,84848,159936,20665
370,23P,864691135657839746,85744,152384,20931
371,4P,864691135385260117,87152,159104,20602
372,23P,864691135777155517,87264,155040,20584
373,4P,864691136194205672,87360,157952,21005
374,23P,864691135577011205,87616,150208,20718
375,23P,864691135909730217,87712,151872,20973
376,23P,864691135968935269,90336,150576,20599
377,23P,864691136436413598,91440,144784,20314
378,23P,864691135345196703,91072,151536,21076
379,23P,864691136143880599,92032,151536,20500
380,23P,864691135278227361,91968,146048,20449
381,23P,864691135754600146,92304,146624,20908
382,4P,864691135474697792,93984,152608,21003
383,23P,864691135865500549,94560,156144,20983
384,23P,864691135807233053,97648,144032,20768
385,23P,864691136008423340,84016,150704,21270
386,4P,864691135462265501,86208,159568,21200
387,23P,864691135472034610,87200,149488,21091
388,23P,864691135337751782,87312,145424,21475
389,4P,864691135373656393,89168,157696,21080
390,23P,864691135181799938,90448,148096,21515
391,23P,864691136662230750,90400,146944,21198
392,4P,864691135334527209,90528,155488,21480
393,23P,864691136050871283,90496,145600,21129
394,4P,864691136041051222,94944,159376,21444
395,23P,864691136146394007,95360,150288,21232
396,23P,864691136056376024,96672,146480,21685
397,23P,864691136311813437,97648,147920,21296
398,4P,864691135081720567,97712,158608,21258
399,23P,864691136273124286,93296,154272,21424
400,4P,864691135589883403,74288,172064,20918
401,4P,864691135909788329,76192,163856,20738
402,4P,864691135469383609,76208,166272,20897
403,4P,864691135988291584,76816,170672,20707
404,4P,864691135748544297,77360,171952,20849
405,4P,864691135212663168,79360,164720,20629
406,4P,864691135538107506,80272,165040,20831
407,4P,864691135583712632,80112,172736,20994
408,4P,864691135366985209,80352,175232,20967
409,23P,864691136451307263,95728,150816,20795
410,23P,864691135355342031,86256,143856,20686
411,4P,864691135493985936,81328,159856,20858
412,4P,864691135571249701,67520,162800,21222
413,4P,864691136194013910,71280,170192,21351
414,4P,864691135382903019,74688,162480,21349
415,4P,864691136194056406,76592,168112,21440
416,4P,864691136194297164,78016,168112,21225
417,4P,864691136105450969,78816,175088,21291
418,4P,864691135622527401,80992,161440,21434
419,5P-IT,864691136390398079,70560,179152,20039
420,4P,864691135850447559,70848,184320,20186
421,5P-IT,864691136136618365,72592,191952,19998
422,5P-IT,864691135058590875,73904,181904,20085
423,5P-IT,864691135490582247,75296,180144,20089
424,5P-ET,864691135873643918,76336,177792,20074
425,5P-IT,864691135909176552,78144,179968,20265
426,5P-IT,864691135850416327,78960,190208,20203
427,5P-IT,864691135782389555,80080,177104,20244
428,5P-IT,864691136108739256,81360,189072,20108
429,5P-IT,864691136108735160,82064,190560,19896
430,4P,864691136056321496,81744,178832,19726
431,4P,864691135951954467,67760,178640,20870
432,5P-IT,864691136370813576,72080,182816,20570
433,5P-IT,864691135348291031,72768,185216,20852
434,4P,864691135396396577,72416,179440,20998
435,5P-IT,864691135064992580,76048,185648,20675
436,4P,864691135385189461,76080,179328,20906
437,4P,864691135876009299,77040,177632,20843
438,5P-IT,864691136903043250,76192,183536,21057
439,4P,864691135991481793,79856,179552,21043
440,5P-IT,864691135345111455,80432,184832,20556
441,5P-IT,864691136577465876,80976,188896,20815
442,5P-IT,864691135866363926,80848,183904,20918
443,4P,864691135501816669,73392,181872,21066
444,4P,864691135570712045,74208,180704,21285
445,4P,864691135937398325,76080,184368,21335
446,5P-IT,864691136004715978,76544,187664,21305
447,5P-IT,864691135428494128,81616,182800,21229
448,4P,864691134988456826,81856,178864,21269
449,5P-IT,864691135415460794,75392,194944,20085
450,5P-IT,864691136194107606,75760,208272,20104
451,5P-IT,864691135081784055,77040,205680,20103
452,5P-IT,864691135609455879,73088,206832,20603
453,5P-IT,864691135926296532,75024,208784,20704
454,5P-ET,864691135850414023,75392,202288,20665
455,5P-ET,864691137019576942,77136,197984,20691
456,5P-IT,864691135644557807,77184,195088,20819
457,5P-IT,864691135113188505,78416,201376,21022
458,5P-IT,864691135776530016,79168,204816,20998
459,5P-ET,864691136951547359,80112,203152,20581
460,5P-IT,864691135354188274,80592,200144,20633
461,5P-ET,864691135476109480,74064,196112,21288
462,5P-IT,864691135504645316,74976,192960,21377
463,5P-IT,864691135937164548,76960,197616,21430
464,5P-IT,864691136443711107,79232,208896,21406
465,23P,864691136144751255,83056,150384,15149
466,23P,864691134947423484,83552,146080,15427
467,23P,864691135181798658,85216,149168,15425
468,23P,864691135437556722,86448,151648,15364
469,23P,864691136311812157,87712,150880,15140
471,23P,864691135134700569,89760,147840,15536
472,23P,864691135715219738,90640,151568,15082
473,23P,864691135463529029,90464,152576,15289
474,23P,864691135864757980,91184,145264,15608
475,4P,864691135612901033,91248,157840,15294
476,23P,864691135337746150,91968,146560,15231
477,23P,864691135657834114,91488,153568,15679
478,23P,864691136819623652,92544,146592,15551
479,23P,864691136723527933,92656,150816,15306
480,4P,864691136318322839,93264,158272,15104
481,23P,864691135256125871,93712,148000,15143
482,4P,864691135736929412,93760,158272,15560
483,23P,864691136326261143,94096,151792,15611
484,4P,864691136031767739,94112,156240,15649
485,23P,864691135697398037,95936,147408,15240
486,23P,864691135462770238,97312,146832,15355
487,23P,864691135776621664,97648,151872,15307
488,4P,864691135942590952,82720,158752,16162
489,23P,864691135354924495,84544,150448,15746
490,23P,864691135622805417,85072,148096,16017
491,4P,864691135907392744,85408,157760,15733
492,23P,864691136144723351,85840,150848,16135
493,23P,864691135748564777,85904,158672,16223
494,23P,864691135782274924,85824,153520,15745
495,4P,864691135467556748,86336,159344,15858
496,23P,864691136175026950,87728,150928,15733
497,23P,864691135700281211,88192,143872,15847
498,4P,864691135462727486,89248,155840,16114
499,4P,864691135776624480,89616,156784,15890
500,4P,864691136142227793,92032,158608,16164
501,23P,864691136301294743,91872,144224,16421
502,23P,864691135778801516,92336,156000,15958
503,4P,864691136325292951,94288,157840,16254
504,23P,864691136105544017,94464,146064,16246
505,23P,864691135905744041,93712,145232,16444
506,23P,864691135945492260,95168,153488,16097
507,23P,864691135403768046,95968,145024,15863
508,23P,864691136780346222,96128,151872,15794
509,4P,864691136922760164,96496,157248,15946
510,23P,864691136325560471,97504,155936,16226
511,4P,864691135468172114,81856,156784,16623
512,23P,864691135373662537,83872,144384,16779
513,23P,864691137196879937,84032,150672,16480
514,23P,864691135512004292,83920,151824,17113
515,23P,864691135117796573,84672,154528,16857
516,23P,864691135815490895,84800,152576,16814
517,23P,864691135793759596,85344,147104,17149
518,23P,864691136175028486,86144,147424,16894
519,23P,864691135724418731,94432,146336,15609
520,23P,864691135396718369,88336,151136,16204
521,23P,864691135132664736,87760,106128,21135
522,23P,864691136370828680,89184,107808,21622
523,23P,864691135941168500,97200,107840,21229
525,23P,864691135850453703,82272,125504,15665
526,23P,864691135754597330,82672,122064,15165
527,23P,864691135491239775,83872,123280,15500
528,23P,864691135736928644,86032,118384,15236
529,23P,864691135345194399,86976,121344,15662
530,23P,864691136266014948,87488,122848,15285
531,23P,864691136318254743,90528,121248,15534
532,23P,864691136834921444,90240,122144,15676
533,23P,864691136296697371,91616,124608,15172
534,23P,864691135909788585,91872,119904,15143
535,23P,864691135807978065,92384,125360,15525
536,23P,864691136265859812,93536,117760,15256
537,23P,864691136291180695,94160,121728,15210
538,23P,864691135589946123,97744,120512,15562
539,23P,864691136143627927,83264,122064,16146
540,23P,864691136146110545,84304,123712,15837
541,23P,864691136146016593,86256,122544,15934
542,23P,864691136031765435,87616,121344,15839
543,23P,864691135884069232,85168,119280,17442
544,23P,864691136577509140,88784,124592,16255
545,23P,864691136143406388,89040,126944,16299
546,23P,864691136618416013,89904,126560,15811
547,23P,864691135497655827,90784,124112,16249
548,23P,864691136134251089,91536,119648,16286
549,23P,864691134988410234,92032,124096,15826
550,23P,864691136311825469,93216,118896,16269
551,23P,864691136099829877,93376,122288,16063
552,23P,864691136951620319,94928,123760,16117
553,23P,864691136041066582,95088,122544,15920
554,23P,864691136056324568,95984,124992,15787
555,23P,864691135946687073,96272,122320,16108
556,23P,864691135134711833,96928,117296,15930
557,23P,864691136148762007,97504,115504,15749
558,23P,864691135403778286,97632,126112,16387
559,23P,864691135715309993,82624,111536,17065
560,23P,864691136141027665,82432,118320,17177
561,23P,864691135888520329,82848,124704,17124
562,23P,864691135544415784,82992,119872,17064
563,23P,864691136324445079,84880,124720,16646
564,23P,864691136828389092,85120,125888,16886
565,23P,864691135718481969,87520,121120,16750
566,23P,864691135753656781,87728,122656,17005
567,23P,864691135385351253,87936,119264,16841
568,23P,864691136123784742,89360,121936,16971
569,23P,864691135937376053,89904,119072,17003
570,23P,864691136134452619,89952,122880,16768
571,23P,864691136010949283,89984,124720,17138
572,23P,864691136290965399,90880,122736,16573
573,23P,864691136973706268,91376,122416,17212
574,23P,864691135081698039,92128,121280,16805
575,23P,864691136175029254,92672,118416,16667
576,23P,864691135341042117,92864,113312,17030
577,23P,864691135345230495,93184,126848,16556
578,23P,864691136145091921,93760,123376,16729
579,23P,864691135570723565,94240,119440,16708
580,23P,864691135103999821,94720,113872,16805
581,23P,864691135864744156,94432,117744,17155
582,23P,864691136486785042,95696,124352,16732
583,23P,864691136618471053,95760,126288,16939
584,23P,864691136296686875,96688,118336,16824
585,23P,864691135385280341,97600,119984,17153
586,23P,864691136039380222,82848,119552,17860
587,23P,864691135761546550,84016,125808,17723
588,23P,864691135699296290,84448,125872,17267
589,23P,864691135753685453,84688,121296,17546
590,23P,864691136208995516,87264,119120,17480
591,23P,864691135683249650,87584,119408,17715
592,23P,864691134964563743,88304,125392,15877
593,23P,864691135508710409,88304,124256,17684
594,23P,864691135945515300,89504,123216,17893
595,23P,864691136310077591,90240,124928,17764
596,23P,864691135440481096,90912,122800,17545
597,23P,864691135583696248,91152,115712,17277
598,23P,864691134988454266,91504,117680,17274
599,23P,864691136262791908,91936,122912,17364
600,23P,864691135777173949,92224,126640,17403
601,23P,864691135103998285,93344,117120,17920
602,23P,864691135583712120,95408,124736,17240
603,23P,864691135012464118,95520,121808,17987
604,23P,864691135737509745,95856,126192,17932
605,23P,864691136289868183,96192,121568,17322
606,23P,864691135753708749,98096,112128,17252
607,23P,864691136065686424,96512,116064,17364
608,23P,864691135341329329,312496,99680,23602
609,23P,864691135567892204,303680,114608,18597
610,6P-IT,864691135577119749,182144,233824,19468
611,5P-IT,864691135564700183,127984,214944,20068
612,23P,864691135700434811,334480,116880,15374
613,5P-IT,864691135969012837,136048,182432,17424
614,23P,864691135926407380,185248,109248,22072
615,23P,864691135194621738,325216,120608,20258
616,5P-NP,864691135182017282,137968,215216,19453
617,23P,864691136286564503,82336,139136,15201
618,23P,864691136135142993,82496,129792,15413
619,23P,864691135858696552,83136,137904,15303
620,23P,864691136090940852,83504,135552,15252
621,23P,864691136326276503,83840,130352,15651
622,23P,864691136814814180,84864,138880,15652
623,23P,864691135474682176,86144,131360,15565
624,23P,864691136130201169,86560,142880,15371
625,23P,864691136148686743,86992,139568,15644
626,23P,864691135348234226,87168,127456,15657
627,23P,864691136577514004,87376,133152,15625
628,23P,864691136822837220,88208,133104,15151
629,4P,864691136032042427,274656,154176,19670
630,4P,864691135132967584,289488,140592,19973
632,23P,864691136324428183,89152,128432,15512
633,23P,864691136050846451,90080,127920,15213
634,23P,864691135474687296,91392,132592,15123
635,23P,864691135213080120,91648,139824,15511
636,23P,864691135975477315,92160,138816,15268
637,23P,864691136834899940,92528,130064,15288
638,23P,864691136317739159,92720,129008,15436
639,23P,864691136834907108,92928,131168,15149
640,23P,864691136004775626,92864,141872,15627
641,23P,864691135807272733,93632,136320,15550
642,23P,864691136118456856,94432,136272,15139
643,23P,864691136149656401,94496,142192,15606
644,23P,864691136844514532,95616,142736,15225
645,23P,864691136290426263,97424,128240,15444
646,23P,864691136008485548,83968,140544,15870
647,23P,864691136744285156,84304,129040,16095
648,23P,864691135831594387,84816,138432,16104
649,23P,864691135012464886,84944,140080,16251
650,23P,864691135855638830,86848,139200,16303
651,23P,864691136132378193,87072,135792,16193
652,23P,864691135945507876,87328,134560,15756
