Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
40070,23P,864691135952228643,284864,113280,24282
40071,23P,864691134964688159,280720,125936,25986
40072,23P,864691135491615071,286896,122480,25663
40073,23P,864691135323221404,292272,120192,27576
40074,23P,864691136966025422,293344,126256,26101
40075,23P,864691135772029947,291680,121632,24411
40076,23P,864691137019953006,290144,114848,26791
40077,23P,864691135382842074,293248,118544,25796
40078,23P,864691135856038190,288832,114544,25062
40080,23P,864691136617464027,283616,114592,25004
40081,23P,864691135233439065,282032,118976,25624
40083,23P,864691135207966585,282864,123280,26886
40084,23P,864691135587198450,293344,124560,27396
40085,23P,864691136758676598,279232,129712,15692
40086,23P,864691135864730588,279920,137760,15251
40087,23P,864691135662454339,280624,129200,15242
40088,4P,864691136577525780,281776,141824,15377
40089,23P,864691135841373576,283216,130496,15325
40090,23P,864691135293064716,284544,132480,15215
40091,4P,864691135855558702,284912,141760,15303
40092,23P,864691135373726025,285632,129504,15553
40093,23P,864691134917407754,286352,135552,15429
40094,23P,864691135497618707,287216,130512,15152
40095,23P,864691135653306691,287968,136288,15083
40096,4P,864691136907657582,287984,142896,15489
40097,23P,864691135697217684,289312,130000,15111
40098,23P,864691136907721326,289616,129312,15626
40100,4P,864691135686896864,290624,138976,15457
40101,23P,864691136925388106,290832,135872,15447
40102,23P,864691136537097122,292016,131328,15607
40103,23P,864691135980833994,292640,131488,15233
40104,4P,864691135207730809,293264,138512,15662
40105,23P,864691136079300232,294048,138208,15088
40106,23P,864691135508723209,294768,135456,15466
40107,23P,864691135474622016,278944,137040,16384
40108,23P,864691136601577681,279376,131072,16236
40109,23P,864691135660502256,279296,128608,15821
40110,4P,864691136486771730,280272,139968,16288
40111,4P,864691136226968657,280672,141568,15806
40112,23P,864691136010926243,280576,134880,15748
40113,23P,864691135941130612,282128,134144,16055
40114,4P,864691135659059523,281984,140176,15915
40115,23P,864691135334525673,282496,137152,16340
40116,23P,864691135303274407,281888,130784,16116
40117,23P,864691136436617118,290288,124608,26743
40118,23P,864691135699282466,283968,135408,16325
40119,23P,864691135782399795,284208,128304,16257
40120,4P,864691135510484688,284368,142080,16299
40121,4P,864691135334523881,286512,139872,15994
40122,4P,864691135644611311,286864,135424,16062
40123,23P,864691135122314535,286976,136224,16257
40124,4P,864691135677500995,286928,142096,15794
40125,23P,864691135780847184,287920,135056,15925
40126,23P,864691136759410294,288096,131136,15806
40127,23P,864691136907806318,288288,127312,15759
40128,4P,864691135269754021,289008,136656,15883
40129,4P,864691136487336822,290688,143216,15795
40130,23P,864691136226970449,291456,131936,16289
40131,23P,864691135785271236,291824,135920,15940
40132,23P,864691135407303113,292336,136592,16385
40133,23P,864691135661429315,293104,133008,16251
40134,23P,864691135989691338,293296,130256,16093
40135,23P,864691135575136286,294208,128976,16333
40136,23P,864691135155543396,294928,133456,16037
40137,23P,864691136174984966,278288,136512,17084
40138,23P,864691137053661046,279056,129072,16766
40139,23P,864691136194077654,279104,131408,17140
40140,4P,864691135476159656,280128,140000,16493
40141,23P,864691135373745225,281248,133248,17142
40142,4P,864691136031733947,281216,141264,17013
40143,23P,864691135785266116,282176,137952,17085
40144,23P,864691135488277306,282784,130912,16697
40145,4P,864691136296725531,284416,139232,16909
40146,23P,864691135660505072,284544,133776,17212
40147,23P,864691136008566702,285072,128832,16770
40148,23P,864691136065234328,286752,139392,16593
40149,23P,864691135671700291,286720,131584,17023
40150,4P,864691136922780388,286944,140800,16502
40151,23P,864691136134415243,286864,135456,16983
40152,4P,864691136581586338,286992,139808,16818
40153,4P,864691135428517424,287216,142720,16865
40154,23P,864691136328904682,287296,135776,16528
40155,23P,864691136907907694,288624,128672,16778
40156,23P,864691135968921957,291904,136512,16874
40157,4P,864691136039372542,292432,139856,16474
40158,4P,864691136050851059,292656,139728,16909
40160,4P,864691135736913540,293712,141168,16907
40161,23P,864691135686913504,293920,134112,16957
40162,23P,864691136521584017,294016,132272,16730
40163,4P,864691136050812915,294480,142832,16763
40164,23P,864691135753581517,278512,135632,17801
40167,4P,864691135334764521,175808,171424,24857
40168,4P,864691135683614706,288048,142384,17026
40169,4P,864691136008759724,289552,139616,16037
40170,23P,864691135510790608,283472,130240,16385
40171,23P,864691135777497021,290432,130336,17061
40172,23P,864691135210425536,293904,126976,27298
40174,23P,864691135969229669,286880,128480,17204
40175,4P,864691136051156467,284928,141456,16069
40176,23P,864691135582131186,279712,138928,17754
40177,4P,864691135841049827,280032,141424,17419
40178,23P,864691135841109128,282000,134304,17886
40179,4P,864691135724217259,283248,140128,17338
40180,23P,864691135615786857,284144,138160,17276
40181,23P,864691135589211634,285424,131424,17582
40182,4P,864691135445630866,284944,139088,17987
40183,4P,864691137053660790,285776,140240,17643
40184,4P,864691136084061292,286160,138832,17825
40185,23P,864691135660503280,287872,134128,17782
40186,4P,864691136059934344,289360,139696,17932
40187,4P,864691135754585810,289360,142656,17707
40188,23P,864691135482657988,289888,127712,17950
40189,23P,864691135888492681,290320,130144,17797
40191,4P,864691135081637111,291808,142112,17910
40192,4P,864691135210022848,292848,143248,17607
40193,4P,864691135758548814,293184,143168,17811
40194,23P,864691135809447884,293792,140896,17405
40195,4P,864691135564671319,294160,141680,17260
40196,23P,864691135937380917,293952,137104,17398
40197,23P,864691136545357474,294320,133824,17838
40198,23P,864691135771698507,294368,132496,17586
40199,4P,864691135968942437,294496,139936,17683
40200,23P,864691135753618637,294192,129536,17947
40201,23P,864691135213054776,294512,131456,17357
40202,23P,864691136134418571,279424,138128,18173
40203,23P,864691135576955141,279584,137920,18653
40204,4P,864691135584866034,279792,143456,18239
40205,23P,864691135888535945,281648,134576,18688
40206,4P,864691136594506658,281840,139616,18042
40207,23P,864691136286563523,281920,129744,18034
40208,23P,864691135564547095,283248,134208,18268
40209,23P,864691135278218401,283472,127792,18746
40210,23P,864691135700285819,284064,132064,18708
40211,23P,864691135991526593,284432,137744,18538
40212,23P,864691135538070130,284608,135856,18650
40213,4P,864691137019567982,285680,142288,18669
40214,23P,864691135652828483,286064,132720,18458
40215,23P,864691135568892294,286560,136032,18056
40216,23P,864691135937360181,287488,134384,18454
40217,4P,864691135654152388,287568,139520,18530
40219,4P,864691135407296713,287808,142128,18482
40220,4P,864691134939996515,288912,135024,18418
40221,23P,864691135968940389,289744,138448,18578
40222,23P,864691135785270724,290768,131776,18453
40223,23P,864691135568906374,290976,129104,18139
40224,23P,864691135012565494,291264,132560,18636
40225,4P,864691136056338648,293408,141296,18068
40226,4P,864691135969569738,293424,140832,18361
40227,23P,864691135445637522,295008,133760,18218
40228,23P,864691136039366398,278960,127872,18782
40229,23P,864691135494077328,278736,134528,19327
40230,4P,864691135785267140,278928,138848,18932
40231,4P,864691136175055110,279200,142272,19102
40232,23P,864691136311799869,279600,138624,19251
40233,23P,864691135991500737,280224,141120,18809
40234,23P,864691135354929615,280784,130576,19155
40235,23P,864691135586061810,280912,137184,19468
40236,23P,864691135122348327,283200,137408,19472
40237,23P,864691136747515254,283056,141536,18890
40238,23P,864691135583815032,283184,133088,19490
40239,4P,864691135753711309,284272,140816,19422
40240,4P,864691136973710364,285264,140832,19044
40241,23P,864691135946668641,285392,132080,19237
40242,23P,864691135334504681,286528,133424,18932
40243,23P,864691135058559643,286384,128608,19516
40244,23P,864691136436424606,287008,137056,19412
40245,4P,864691135468162642,287280,139952,19062
40246,23P,864691135584344050,287376,129664,18910
40247,4P,864691135407282377,287536,142464,19382
40248,23P,864691136482876972,287632,135584,19120
40249,4P,864691135937190660,287744,142592,19177
40250,4P,864691136583295125,280560,148064,15203
40251,23P,864691135341189553,288544,132672,19197
40252,4P,864691135838623880,280624,153648,15660
40253,4P,864691136955797276,280560,152768,15087
40254,4P,864691135974450031,290400,139680,18795
40255,23P,864691135233263193,291328,136816,19299
40256,4P,864691135132667808,291968,143008,18953
40257,23P,864691135213044792,292192,137936,19513
40258,23P,864691135926320852,292864,130544,18979
40259,23P,864691135866374166,292768,140064,19408
40260,4P,864691136037941896,282288,151664,15650
40261,23P,864691135345149599,293568,138688,18874
40262,4P,864691136915542638,282016,159600,15238
40263,23P,864691134947418620,293760,132496,18825
